symbol,name,type
HATHPO,Hathway Finance Company Limited Promoter Share,promoter
HATHY,Hathway Investment Nepal Limited,equity
HBL,Himalayan Bank Limited,equity
HBLD83,10% Himalayan Bank Ltd. Debenture 2083,bond
HBLD86,Himalayan Bank Limited Bond,bond
HBLPO,Himalayan Bank Ltd. Promoter,promoter
HBT,Harisiddhi Brick And Tiles Limited,equity
HDHPC,Himal Dolakha Hydropower Company Limited,equity
HDL,Himalayan Distillery Limited,equity
HEI,Himalayan Everest Insurance Limited,equity
HEIP,Himalayan Everest Insurance Limited (Promoter,promoter
HFIN,Hotel Forest Inn Limited,equity
HFL,Himalayan Finance Limited (Bittiya Sanstha,equity
HGI,Himalayan General Insurance Co. Ltd,equity
HGIPO,Himalayan General Insurance Co. Ltd Promoter Share,promoter
HHL,Himalayan Hydropower Limited,equity
HIDCL,Hydroelectricity Investment and Development Company Ltd,equity
HIDCLP,Hydroelectricity Investment and Development Company Limited (Promoter,promoter
HIMSTAR,Him Star Urja Company Limited,equity
HLBSL,Himalayan Laghubitta Bittiya Sanstha Ltd.,equity
HLI,Himalayan Life Insurance Limited,equity
HLICF,HLI Large Cap Fund,fund
HOTELS,Hotels and Tourism,index
HPPL,Himalayan Power Partner Ltd.,equity
HRL,Himalayan Reinsurance Limited,equity
HURJA,Himalaya Urja Bikas Company Limited,equity
HYDROPOWER,Hydropower,index
ICFC,ICFC Finance Limited,equity
ICFCD83,12% ICFC Finance Limited Debenture 2083,bond
ICFCD88,9% ICFC Finance Limited Debenture-2088,bond
ICFCD89 ,8% ICFC Finance Limited Debenture 2089,bond
ICFCPO,ICFC Finance Limited Promotor Share,promoter
IGI,IGI Prudential Insurance Limited,equity
IGIPO,IME General Insurance Ltd. Promoter Share,promoter
IHL,Ingwa Hydropower Limited,equity
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,equity
ILBSP,Infinity Laghubitta Bittiya Sanstha Limited Promoter Share,promoter
ILFCMP,ILFCO Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
ILI,IME Life Insurance Company Limited,equity
IME,IME Limited,equity
INVESTMENT,INVESTMENT,index
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,equity
JBBD87,Jyoti Bikash Bank Bond 2087,bond
JBBL,Jyoti Bikas Bank Limited,equity
JBBLPO,Jyoti Bikash Bank Ltd. Promoter Share,promoter
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,equity
JBNL,Janata Bank Nepal Ltd.,equity
JBNLPO,Janata Bank Nepal Ltd. Promoter Share,promoter
JEFL,Jebils Finance Ltd.,equity
JEFLPO,Jebils Finance Ltd. Promoter Share,promoter
JFL,Janaki Finance Ltd.,equity
JFLPO,Janaki Finance Limited Promoter Share,promoter
JHAPA,Jhapa Energy limited,equity
JLI,Jyoti Life Insurance Company Limited,equity
JOSHI,Joshi Hydropower Development Company Ltd,equity
JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,equity
JSLBBP,Janautthan Samudayic Laghubitta Bikas Bank Ltd. Promoter Share,promoter
JSM,Jyoti Sinning Mills Limited,equity
KADBL,Kanchan Development Bank Limited,equity
KADBLP,Kanchan Development Bank Limited Promoter Share,promoter
KAHL,Kalanga Hydro Limited,equity
KBL,Kumari Bank Limited,equity
KBLD86,10.25% Kumari Bank Debenture 2086,bond
KBLD89,11% KBL Debenture 2089,bond
KBLD90,10% KBL Debenture 2090,bond
KBLPO,Kumari Bank Limited Promotor Share,promoter
KBSH,Kutheli Bukhari Small Hydropower Limited,equity
KDBY,Kumari Dhanabriddhi Yojana,fund
KDL,Kalinchowk Darshan Limited,equity
KEBL,Kabeli Bikas Bank Limited,equity
